# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
sha	subject	decision	europa_sha	pr	validation
64ac0822b439d71796108f0f41485b61e3b8b395	merge conflict fixes (#13046)	Adapted	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
856d83a15eeef23806c896fa4fddbec136b28613	Merge branch '4.22'	Already Satisfied	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
8906aa1d460166044feb11f5a511a140ca776281	Merge branch '4.22'	Adapted	1159774943e6b8a9542260ed7a154121ef0cf480	https://github.com/ablecloud-team/ablestack-cloud/pull/1037	s6-merge-review.tsv; s6-verification.ko.md
1e512ab9c6505641a944db2c878514e189b9f5f6	Skip QemuImgTest when libvirt native library cannot load (#13086)	Applied	8aa74e786d1416f20377579ac32182e0acd915aa	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Native libvirt loading failures are explicit skips: QemuImgTest one skip in the container. Full local and Actions suites pass; this is not a real-KVM functional PASS.
cbc1ae738803544ba52c7072f81d0dc3847786de	Bump the github-actions-dependencies group across 1 directory with 9 updates (#13042)	Adapted	274a653f8ee24876bd40fe3a63cdaac3fae2f100	https://github.com/ablecloud-team/ablestack-cloud/pull/1002	Reviewed/tested head 0725e2c585b35b45d9e9e8f180f051d2022a59a6; merged 17287b59fe3dffccd64003e366c17e274a9b0b28; s2-verification.ko.md and s2-review.tsv. Backend https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707761 (12265 tests, failures0/errors0/skipped17); Rocky9.8 https://github.com/ablecloud-team/ablestack-cloud/actions/runs/34459707809; row-specific scope: Core UI/checkout actions and the existing inactive simulator ci.yml use final Apache4.23 pins rather than intermediate versions. Apache automation lockfiles, CodeQL and docker-cloudstack-simulator paths are not imported. Core execution and actionlint validate the adapted scope; skipped simulator execution is not a PASS.
f6efda50d2f6fd27179e6d9b105081b1a828967d	Update .asf.yaml: Add ingox as collaborator(#12058)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
3e688b0197863bd35635d7e0999b91a35b692ac6	Merge tag '4.22.0.1' into 4.22	Already Satisfied	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
a4a52c96659d9f94fd080096aa673916ae221ef2	Merge branch '4.22'	Already Satisfied	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
522283bdeca92a3c4ce75846c106b1fa80661bbd	Refactor merge conflict checker workflow (#13183)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
38c001296a2cd5b20ef30be7a3d253c3aecef4ac	Rename gpordeus collaborator to gp-santos (#13195)	Excluded		https://github.com/ablecloud-team/ablestack-cloud/pull/1002	S2 current-source review at d415cef44ef5b0008bd81288cd0ef1d280e8a028; PR #1002; s2-review.tsv and S2 verification report. Scope-only exclusion reviewed against changed paths; no runtime behavior imported.
