# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
source_sha	workstream	subject	decision	initial_europa_sha	verified_source_sha	pr	equivalent_source_sha	review	verification
e2c13da419705bfd61b031142cbd46b69c5ccff4	S3	Remove UUID parse from param processing workflow (#13065)	Applied	202d01b7c4979991f08b7bdecb5eab2e1c71802b	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	NFS/HTTPS/Metalink downloader tests; TemplateUrlValidationOrderTest; exact final-path review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
92d82989e327470c48d3ad2123a93011c0fb5ae3	S3	Correction of the user responsible for the  event (#13066)	Applied	9a357e127543e44b4b9e6e1e729f86146ccc39b4	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
a17bff9ba8770349c3b8344cb45778e89d4379f4	S3	ui: fix webhook filters listing (#13068)	Adapted	64683ca81c19deec9ac40fd2f8797eff66f8d487	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	adapted locale merge preserving Europa keys	Webhook module 253 tests including owner/domain access and destination URL policy; UI regression; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
4425ee423480d12a71a867300c366b87c2e53ab4	S3	Remove unnecessary if-else branch in template permission validation (#12683)	Applied	8ad4b5b10ee4cc6ed0fc6429d2de994f4dc94fab	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
2eef7aa9a272a1346e5caea3c3a84f3f5264afed	S3	adding default deny keys also when there are no other keys	Applied	bfc2c45b62f71d3de82149f4c8a6e7ccca10abfa	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
3c1f03144feee985404b0be0d65a25288d219d70	S3	Add null check for ApiKeyPair in getUserByApiKey (#12938)	Applied	de7df69cc65b86bb62154982f3ea9212c56c7fb1	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	AccountManagerImplTest; dynamic role checker; RegisterUserKeysCmdTest; actual HMAC authentication fixture; DB preservation; UI key creation; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
1fe486f493b2f52abcf971b3d009044848c7885f	S3	Add ROOT CAs to the trust store and allow force provisioning of certs hosts & systemVMs via ssh (#12911)	Adapted	ac34e31571626a48cdefa253e66ed22fe5c33411	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	Root CA module 34 tests; configured PEM/key/certificate fixtures; CertUtils tests; caller compilation; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
ca4645320e2b40ebc541b4818b2f8f9a044f3fc2	S3	Move checkRoleEscalation outside DB transaction in createAccount (#13044)	Applied	7bedd474d333b80395a125bbd9fdfd1832ea167d	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	AccountManagerImplTest and role/project regression; UI contract review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
b16340399baed5faec14bf01b6fb99f40ce63c58	S3	fix: show re-enable 2FA button when is2faenabled is null/undefined	Applied	2003e57bfe1e519a359affa8001f3e185af0096a	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	AccountManagerImplTest and role/project regression; UI contract review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
be5194814616ec8d3bf9410ed6bc533186bd0eed	S3	Stop role from auto-changing if user manually selected a role during account creation (#13320)	Applied	e4a51a803ce263df914b71204f7e58ede793ad38	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	AccountManagerImplTest and role/project regression; UI contract review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
8ef036e717524396ae790a502f0e01a0b63a0cb1	S3	UI for API Key Pair Management (#13225)	Adapted	442d37efbfbd626e7f369ee28b8484ea7ad871c8	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	adapted locale and InfoCard preserving Europa clone flatten	AccountManagerImplTest; dynamic role checker; RegisterUserKeysCmdTest; actual HMAC authentication fixture; DB preservation; UI key creation; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
c2c855b9b18cf238e8fa22a9c010691f6a867f3b	S3	Add keycloak OAuth provider (#13033)	Adapted	64be836db275c510aac3812238223b8c09087828	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	adapted SQL OAuth columns preserving DR tables; locale merge	OAuth2 module 95 tests; real signed-token and request-flow fixtures; provider access tests; DB migration fixture; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
aef91ae3240634a8cdb699d560176cc9811ad45e	S3	Add OpenTelemetry tracing instrumentation to API layer (#13132)	Adapted	3bca7444ecc46b07362c02bb4f6c81523783d035	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	adapted preserving S2 dependency versions	Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
95d0aed9f5ecc52d15e8b801e67216763008273f	S3	Additional metrics for virtual machine orchestration (#13141)	Applied	436c3ee7549de08f922a1e1d3a6212bce07282b4	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	cherry-pick	Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
f49ab6b394d8685ef6555adac2afbf52e5cb963f	S3	API rule regex optimization (#13109)	Already Satisfied	-	e086c2433302499068ccfea6ae41b3e642554297	https://github.com/ablecloud-team/ablestack-cloud/pull/1009	-	Current Rule.java equals final 4.23 tag including merge resolution; compiled once and wildcard rule comparison preserved	Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
