# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
source_sha	workstream	subject	decision	initial_europa_sha	verified_source_sha	pr	review	verification
6c1437b7ddd8fc590c96d1aac6f8df7709ac4625	S4	fix end of file schema-42200to42210.sql	Already Satisfied	5d12d16087121a48af6724e2c37097dac833458e	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Europa SQL already has one final newline; preserve later Europa storage-service SQL instead of truncating to upstream EOF.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
6f4445c5c1b510a47b12dec1b61dc41dde02979b	S4	Add offering preset variables for `Network` and `VPC` Quota tariffs (#11810)	Adapted	6cf75bc16c30c1fd58c20f510d99eb2f0d47bd7a	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Preserve Europa enum Volume.Type setter; include new network/VPC offering fixture values.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
a73cc9a22c09954c1631c36d2a11064764cc8355	S4	Improve Quota Statement (#10506)	Adapted	c7ec26349126bf9ccbba7407c917e3931be373ed	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Append quota mapping after Europa DR/storage-service and S3 OAuth DDL; preserve ProjectDao while reconciling relocated imports.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
c45596cca3ec5d3c98fd3bdc1fb3bca53a3352a1	S4	Refactor of Allocator classes (#9074)	Adapted	0ccbe6c5e8863a33835a1d007efae4f8216a14b7	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Use unified allocator API with existing Europa migration candidate list. Preserve UEFI/TPM capability constraints after tag-rule selection and keep explicit candidate boundaries.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
c07f1fd5d29ab2c6ba3a419dbf6d21b0a4f3900b	S4	Number of running and stopped VMs as preset variables for `Network` type Quota tariffs (#11689)	Adapted	1ddb28bc5158746d8723732ef77f28b2fb2bc0ed	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Preserve Volume.Type enum in quota fixture and include ResourceCounting preset class.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
1f5dba9bd2d33e95c63cc04b57df51b5c7921630	S4	Release reserved storage resources on VM deployment failure (#13048)	Adapted	3ed8ff4945abf02eba5780f22310067e4e174bfb	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Preserve Europa additional disk size reservation while returning releasable Reserver handles.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
3f6866d70a6e4eb8a12dd257d33bde5aae79aacf	S4	Refactor Quota balance (#12961)	Adapted	0a70c6864d1b3f91be7f83ef85c0a17124c75935	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Preserve Europa backend SSL constant; use final quota balance response and creditor contract with matching UI scheduled in this batch.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
2fd83e13b1879ba5df18204d595c563fc2b10c33	S4	Introduce Quota resource statement API (#13236)	Adapted	6a8e76588b32c9b410aea8265f22a160f4adae85	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Apply only quotaResourceStatement permission hunk; do not import unrelated backup/network parent context. Deduplicate test imports.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
21e4475d961a4cf645ccf043158f6d2bb7655a61	S4	Optimize the DB updates to use bulk UPDATE instead of row-level locks. (#13349)	Applied	8c1e9783e88f5c0923968fea6420fc3993dfe772	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Upstream patch applied; final callers and data/API contracts verified in full regression.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
6227525c8423efb96aa399a3f2a918aa33a7a10a	S4	Optimize UsageJobDaoImpl.updateJobSuccess to use direct UPDATE instead of row-level lock (#13160)	Applied	81f40c12f52ae28dd2f87aebe29ef205831286e3	551a19f7caecb817c48eca0e9f3754d433aac241	https://github.com/ablecloud-team/ablestack-cloud/pull/1016	Upstream patch applied; final callers and data/API contracts verified in full regression.	Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
