# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
source_sha	workstream	subject	decision	initial_europa_sha	verified_source_sha	pr	review	verification
be89e6f7c3784672cd0a9f8d0a0101c670162dd2	S5A	[KVM] Reorder migration logs to prevent populating agent logs on migrations (#12883)	Applied	3e91b5b535049e921abc0bb516a5ecbc941763f0	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Preserve explicit Europa migration candidates; improve migration exception diagnostics.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
ffebe8eaa64607e4294ee2d072e53b0347de5e9e	S5A	Fix bulk power state query missing VM lifecycle state field (#13027)	Applied	047154b8d00a69f40faa29a15bed6125234fbb7f	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Compute actual VM state in bulk status handling; retain Europa FTCTL host-owned progress.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
519715e81a65b9df4fa4ef589b2bfd2cd79f442e	S5A	Fix id in listguestosmapping search (#13082)	Applied	f8c7117b02f83c617c40fbc03a90b5d72e5a033f	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Use guest OS mapping id in listGuestOsMapping search criteria.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
89d915493fb83c5e0abe8db0fc1800bedc5be42b	S5A	Fix NPE on external/unmanaged instance import using custom offerings (#12884)	Already Satisfied	2b4035e1fb03810ae572bb18fafabb74c22babc7	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Baseline already selects powered-on and dynamic CPU/RAM values and reserves per imported VM. Preserve CheckedReservation, VDDK, S3 authorization and destination pool contracts.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
a127a26ebd3cb2b3cdfed3e8a6b5f1a2c855a5cd	S5A	Fix Revert Instance to Snapshot with custom service offering (#12885)	Already Satisfied	2b4035e1fb03810ae572bb18fafabb74c22babc7	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Baseline already compares service offerings and restores only custom offering details. Preserve Europa snapshot state and unrelated VM details.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
4359198904c54f9b5bc9afa0d9e474beb4ec2d4d	S5A	KVM Host HA improvements - Fix to not cancel VM HA items when Host HA inspection in progress, and some code improvements (#13088)	Adapted	816372e6672c6efa56865588c62576b8cfd5a0a3	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Reconcile HA interfaces while retaining RBD/CLVM/SharedMountPoint/NFS opt-in monitoring, host-owned FTCTL, unknown-answer safety and no default OOBM RESET.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
5893ba5a8c00aa445be252e2dd0bc557b0cec3fc	S5A	server: Fix NPE when on findHostsForMigration when no suitable hosts are found (#13138)	Adapted	77986b98828363e8a8c89665515794f953507fc6	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Empty allocator output returns no candidates before priority logic. Preserve UEFI/TPM, storage, affinity and explicit candidate filters.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
6b831f5196c3cfcc2d7aaf3fc2150c069d125fdc	S5A	Live scaling for VMs with fixed service offerings on KVM (#12975)	Adapted	32cba6b24979c59624ec2af2033bf585dcd511e4	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Apply live CPU/RAM limits and requested RAM with old-wire fallback; preserve constrained validation, GPU/KVDO/clone fields and Europa custom offering inputs.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
470e95964bc74f14787b0b9459a267977c104ef0	S5A	Change disk-only VM snapshot removal message (#11182)	Adapted	b8a24a0d497a9e933f8c2f4dcb287f90e950ac7a	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Apply disk-only snapshot deletion text while preserving S4 per-invocation cloned actions and existing UI behavior.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
d1e1aa5d2035e46af01059315b98f290909969d4	S5A	VM Deployment using snapshot in new zone (#13178)	Adapted	22c94cff13cd38efc7715a23f436e011d9bf692f	8a4f0b5fec734cbe5d8c28cbffc1a599cfb0b19d	https://github.com/ablecloud-team/ablestack-cloud/pull/1024	Allow snapshot deployment across zones and after source removal; preserve Europa root-size sentinel and S3 owner checks.	Local noredist/simulator regression, UI351, actual MySQL fresh/whole014/S4 upgrade/DDL failure replay and management API; official Actions and source details in s5a-verification.ko.md. Hardware scenarios are separately tracked in #1025 after all code merges.
