# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
source_sha	decision	remaining_side_sources	review	verified_source_sha	pr
a4a52c96659d9f94fd080096aa673916ae221ef2	Already Satisfied		Empty remerge diff. All eight in-scope side sources now resolved across S3/S4/S5A/S5B; no additional merge-only behavior.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
21b2025c5055d4580e828f708d406510853f0060	Pending	c165806d3b8262c58821e04c622da176c935b46b;9f96c9d5eb97f1836103918cf520d72cc3395c51	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: c165806d3b82:S6,9f96c9d5eb97:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
67b849f3efd16f5c353501d176a42e45d87acb44	Pending	21b2025c5055d4580e828f708d406510853f0060;c165806d3b8262c58821e04c622da176c935b46b;3285e2fad8747d3a02cf135616ee220a34a8da4e;9f96c9d5eb97f1836103918cf520d72cc3395c51	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: 21b2025c5055:S2,c165806d3b82:S6,3285e2fad874:S6,9f96c9d5eb97:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
ce52b9dae0cef57394967346247914a47cb04da4	Already Satisfied		All in-scope sources resolved. Snapshot remerge keeps S4 CheckedReservation, persistence before single resource increment, and exception propagation without double accounting.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
d5101b0c905a818a83c5048dc37447162040089e	Already Satisfied		All in-scope sources including ce52b9dae0ce resolved. Snapshot-copy URL and concurrent reservation flow plus tests are retained in Europa; preserve S4 reservation lifetime and cleanup.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
fb5e24fa086880b0b3058278c0878ef404af0e59	Pending	e689c02b689c3726dbbc36a28b578c857057f1e1;8e933b735e21d1b6bda95425fe76994499ec308d	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: e689c02b689c:S6,8e933b735e21:S7. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
b3b9caddc191da6842b99ee6b2f2d5f92cb70145	Pending	a951ac61d0900764a4ec85df8e1250c0dcd24af4;006831daafbda30ae415a3908f165c56b396db75;097a57967b607c970ef270ca6dc53288cf6575c0;2ba02c1a4a3974cfddf28697cfe56d95cf5f7360;4625a43672204a6a7b7d9fe0ba8d21ff21df91e7	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: a951ac61d090:S7,006831daafbd:S6,097a57967b60:S6,2ba02c1a4a39:S6,4625a4367220:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
c7e2c748f74619e3b0454d6f2904b89abaf39003	Pending	b36f06482fad3c5fa15cae02df0d696b4f659fc7;78d9cb5abd633ff740352637dce417346b0b8a80;4244c2cc102cc7decfb166147adf5161c8e29f1f;b26b70c40d60afe2606aca2a59945e3aec707539	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: b36f06482fad:S6,78d9cb5abd63:S6,4244c2cc102c:S6,b26b70c40d60:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
846803db0766e95e618d0675186268c4d31fefb0	Pending	c7e2c748f74619e3b0454d6f2904b89abaf39003;b36f06482fad3c5fa15cae02df0d696b4f659fc7;78d9cb5abd633ff740352637dce417346b0b8a80;4244c2cc102cc7decfb166147adf5161c8e29f1f;b26b70c40d60afe2606aca2a59945e3aec707539	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: c7e2c748f746:S2,b36f06482fad:S6,78d9cb5abd63:S6,4244c2cc102c:S6,b26b70c40d60:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
a503a52ba6907cdfa704212dac9d5d831a248f3d	Already Satisfied		Empty remerge diff. Its only in-scope source 1c1611df2fd3 is now applied with Ubuntu sudoers and SystemVM staging fixes.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
76a4bc8c9dea970f829772fdb8419013974797f9	Already Satisfied		All in-scope side sources resolved including FlashArray REST2. Remerge migration-listing GPU/host-version method boundaries and tests are present with S5A scope fixes; retain 17e5947 Europa regression adaptation.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
fe3df6b660d3757797235cf4cbd3f96716feffbe	Already Satisfied		All in-scope sources including 76a4bc8c9dea, QEMU10.1, NAS rebase and FlashArray are resolved. Remerge removes duplicate migration-test mocks; unique vGPU/DeploymentPlanningManager fixtures compile and pass in Europa.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
e1cf0f335a7f2e4b6cd71c3147ef64bcd89d486e	Pending	0339f31fb5e94727a32aaeb1fdeb3c333ee5fd83	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: 0339f31fb5e9:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
7fd56e573b8d6055b2d560babc9ad1f6c25d5d32	Pending	5432a04ae6e053658ae58c12867408cef9d12935	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: 5432a04ae6e0:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
efa58cc52fca2c58840b8c83b583e3e36f0f5577	Pending	7fd56e573b8d6055b2d560babc9ad1f6c25d5d32;5432a04ae6e053658ae58c12867408cef9d12935	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: 7fd56e573b8d:S2,5432a04ae6e0:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
02182a1572a12a89fc2f429f57bcec6f9e6ad7c0	Pending	efa58cc52fca2c58840b8c83b583e3e36f0f5577;7fd56e573b8d6055b2d560babc9ad1f6c25d5d32;5432a04ae6e053658ae58c12867408cef9d12935	S5B dependency state refreshed; earlier feature reviews retained. Remaining in-scope sources: efa58cc52fca:S2,7fd56e573b8d:S2,5432a04ae6e0:S6. Shared merge remains Pending.	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035
