# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
source_sha	workstream	subject	decision	initial_europa_sha	verified_source_sha	pr	review	verification
089eb36e471c263ff1a90376cadaba7a595fc9e8	S5B	Linstor: fix create volume from snapshot on primary storage (#13043)	Applied	eebe3d5b6ae830b50528d0ef595fd52e488bc148	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Restore LINSTOR snapshots directly to volumes with destination resource handling; retain Europa storage/provider dispatch.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
5b9a3d7d320e2dd5bf58d517007d80ce347d89a8	S5B	linstor: Fix a file handle resource leak opening template.properties (#13091)	Applied	aa8dbc515e6e77d73831f43c728949d1d6fbe995	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Template property access owns and closes its resource stream; no API or template format contract change.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
ddcc0c889d723651d0072f8736865577d5315601	S5B	Don't delete volume on store if it is not created or doesn't exist on it (#13111)	Applied	cba3e8d0a01ca791b128b7d3d26b02223107a3c1	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Permit deletion accounting when the secondary store is absent; preserve Europa ownership/resource count paths.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
e1521f139b026e1459a4993b75d9425ac508956d	S5B	systemvmtemplate-register: correctly update existing template name in config (#12703)	Applied	0ec0159fb74a717eb600b9e86f2c6f8787caca36	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Honor configured registered SystemVM template name; system and built-in template exceptions retained.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
68221cf10182765c0abce1fe2e3954307335c19f	S5B	fix(linstor): pre-flight check destination is a LINSTOR satellite before live migration (#13077)	Adapted	0dc3edc2cfd2134e63f28ae33fdbf7993ffd6566	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Validate LINSTOR destination prerequisites before copying; final integration passes the destination pool token and TLS policy.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
850b44317a4c7e4f57b9d03f6890fd143bbd63a8	S5B	fix(linstor): verify resource deletion completes; warn if stuck in DELETING (#13076)	Applied	72abbb3ea1c993038768682b3f48aaf86620688d	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Bound asynchronous delete confirmation polling to 30 seconds; do not treat missing confirmation as success.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
35ac91e58b83d50dc71784cad9c41044926986e6	S5B	Change exception treatment on incremental snapshot wait (#12665)	Applied	5166eeafdf13a1185bf3ade21b8e8a78a4c84a05	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Preserve interrupt handling in storage delete polling.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
08b1d38755727b615fda6a668ba9ac035f3b8002	S5B	adaptive: honor user-provided capacityBytes when provider stats are unavailable (#13059)	Applied	6667c25f28c6d260a0a0b6aa94b36ad24ca7a9e6	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Use Adaptive provider capacity semantics for pool statistics without replacing Europa providers.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
c267ad39bcdaa07e42c73cb29b1c4b51bccfe54e	S5B	Fix/flasharray delete rename destroy patch conflict (#13049)	Applied	d08d2dfb46c1a502aa8b7b7bb59a82c4f8d8c51b	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Preserve FlashArray rename and snapshot identity handling and subsequent REST authentication fixes.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
ea771a701317c06f0037016e94e15e0fe7106a31	S5B	Fix Instance Backup related events (#13180)	Adapted	5c063bfed73098e87a4864552f0076297592f384	d7b88c24e3630de4d8b277d1a890599ff85e4672	https://github.com/ablecloud-team/ablestack-cloud/pull/1035	Add backup events while retaining Europa external provider events and state names.	Local noredist/simulator regression, UI351, image-server122, NAS shell9, MySQL fresh/whole014/S5A upgrade and all17 DDL interruption retries, management API. See s5b-verification.ko.md and s5b-local-tests.tsv; official final-head Actions are linked from PR1035. Physical tests deferred to #1025 after all code merges.
